[2024-09-09 15:37:46,629][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-09 15:37:46,633][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-09 15:37:46,647][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-09 15:37:46,861][hydra.utils][INFO] - Starting training!
[2024-09-10 11:30:55,980][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 11:31:22,133][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 11:31:22,304][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpx82osi55
[2024-09-10 11:31:22,304][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpx82osi55/_remote_module_non_scriptable.py
[2024-09-10 11:33:29,101][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 11:33:31,482][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 11:33:31,556][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpew0tykzv
[2024-09-10 11:33:31,557][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpew0tykzv/_remote_module_non_scriptable.py
[2024-09-10 13:32:41,744][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 13:32:46,583][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 13:32:46,622][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp2ihy8fqs
[2024-09-10 13:32:46,622][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp2ihy8fqs/_remote_module_non_scriptable.py
[2024-09-10 13:33:10,511][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 13:33:11,420][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 13:33:11,462][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp1e5k2_n8
[2024-09-10 13:33:11,462][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp1e5k2_n8/_remote_module_non_scriptable.py
[2024-09-10 13:40:35,374][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 13:40:36,304][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 13:40:36,348][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp8cal8g45
[2024-09-10 13:40:36,348][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp8cal8g45/_remote_module_non_scriptable.py
[2024-09-10 13:40:59,341][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 13:43:03,082][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 13:43:11,426][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 13:43:11,495][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpvfftdeog
[2024-09-10 13:43:11,496][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpvfftdeog/_remote_module_non_scriptable.py
[2024-09-10 14:30:29,316][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 14:30:44,164][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 14:30:44,209][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9_9aydcg
[2024-09-10 14:30:44,209][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9_9aydcg/_remote_module_non_scriptable.py
[2024-09-10 14:31:08,629][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 14:31:09,871][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 14:31:09,933][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpu37h7weu
[2024-09-10 14:31:09,933][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpu37h7weu/_remote_module_non_scriptable.py
[2024-09-10 14:36:51,330][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 14:36:52,709][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 14:36:52,757][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpofpe58zc
[2024-09-10 14:36:52,758][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpofpe58zc/_remote_module_non_scriptable.py
[2024-09-10 14:36:56,700][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-10 14:36:56,703][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-10 14:36:56,704][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-10 14:36:56,707][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
